barcode,itemcallnumber,isbn,title,subtitle,author,pages,publishercode,copyrightdate,price
20923,"535.2 T21 SHI",9781138601253,"Introduction to quantum optics: photon and biphoton physics",,"Shih, Yanhua",,"CRC Press",2021,12170.45
20924,"547 T21 BHA.K",9789354660436,"Pharmaceutical organic chemistry",,"Bhasin, S K",800p,"CBS Publishers and Distributors",2021,775.00
20925,"547 T21 BHA.K",9789354660436,"Pharmaceutical organic chemistry",,"Bhasin, S K",800p,"CBS Publishers and Distributors",2021,775.00
20926,"547 T21 BHA.K",9789354660436,"Pharmaceutical organic chemistry",,"Bhasin, S K",800p,"CBS Publishers and Distributors",2021,775.00
20927,"547 T21 BHA.K",9789354660436,"Pharmaceutical organic chemistry",,"Bhasin, S K",800p,"CBS Publishers and Distributors",2021,775.00
20928,"624.15 T22 MUR",9788123915067,"Advanced foundation engineering",,"Murthy, V.N.S.",,"CBS Pub.",2022,825.00
20929,"624.15 T22 MUR",9788123915067,"Advanced foundation engineering",,"Murthy, V.N.S.",,"CBS Pub.",2022,825.00
20930,"624.15 T22 MUR",9788123915067,"Advanced foundation engineering",,"Murthy, V.N.S.",,"CBS Pub.",2022,825.00
20931,"624.15136 T22 MUR",9788123913629,"Textbook of soil mechanics and foundation engineering",,"Murthy, V.N.S.",1043p.,"CBS Publishers & Distributors",2022,725.00
20932,"624.15136 T22 MUR",9788123913629,"Textbook of soil mechanics and foundation engineering",,"Murthy, V.N.S.",1043p.,"CBS Publishers & Distributors",2022,725.00
20933,"624.15136 T22 MUR",9788123913629,"Textbook of soil mechanics and foundation engineering",,"Murthy, V.N.S.",1043p.,"CBS Publishers & Distributors",2022,725.00
20934,"624.15136 T22 MUR",9788123913629,"Textbook of soil mechanics and foundation engineering",,"Murthy, V.N.S.",1043p.,"CBS Publishers & Distributors",2022,725.00
20935,"627 T17 SRI J",9789352606207,"Engineering hydrology",,"Srivastava, R; Jain, Ashu",,"McGraw Hill",2017,595.00
20936,"627 T17 SRI J",9789352606207,"Engineering hydrology",,"Srivastava, R; Jain, Ashu",,"McGraw Hill",2017,595.00
20937,"627 T17 SRI J",9789352606207,"Engineering hydrology",,"Srivastava, R; Jain, Ashu",,"McGraw Hill",2017,595.00
20938,"627 T17 RAY M",9789352604739,"Applied hydrology",,"Ray, Linsley and Max, Kohler",,"McGraw Hill",2017,1095.00
20939,"627 T17 RAY M",9789352604739,"Applied hydrology",,"Ray, Linsley and Max, Kohler",,"McGraw Hill",2017,1095.00
20940,"627 T17 RAY M",9789352604739,"Applied hydrology",,"Ray, Linsley and Max, Kohler",,"McGraw Hill",2017,1095.00
20941,"624.028523 T23 JAI D",9781032327808,"Data science for civil engineering: a beginner's guide",,"Jain, Rakesh K.",,"CRC Press",2023,6983.72
20942,"628.3 T22 RAO",9788120417120,"Waste water treatment",,"Rao, M.N.",388p.,"CBS ",,525.00
20943,"579.22 T21 IVA",9780367321659,"Environmental microbiology for engineers",,"Ivanov, Volodymyr",,"CRC Press",2021,11112.15
20944,"551.4922 T17 KOZ",9781681171524,"Hydrogeology: principles and practice",,"Kozel, Petre",,Scitus,2017,12381.90
20945,"628.3 T16 EIN",9789533072494,"Waste water",": treatment and reutilization",,434p.,InTech,2016,14958.00
20946,"628.20 T15 MCG",9789332901902,"Water supply and sewerage",,"McGhee, Terence",,"McGraw Hill",2015,995.00
20947,"624.15132 T23 CLA",9780367464684,"Pressuremeters in geotechnical design",,"Clarke, B.G.",382p.,"CRC Press",2023,14816.20
20948,"624.13 T20 FER",9780367026639,"Analysis and design of geotechnical structures",,"Fernandes, Manuel M.",,"CRC Press",2020,5607.93
20949,"624.15132 T17 ISH T",9781781548387,"Advances in rock dynamics and applications",,"Ishikawa, Tsuyoshi {et al}",,"Auris Reference Limited",2017,12699.60
20950,"616.07 T18 NOR",9781498749909,"Non-invasive instrumentation and measurement in medical diagnosis",,"Northrop, Robert B.",,"CRC Press",2018,13228.75
20951,"621.3122 T22 DON",9781666888317,"High voltage engineering fundamentals",,"Donaldson, William",,"Kaufwan Press",2022,15373.50
20952,"621.3 T06 JAY",9780470030165,"High voltage electricity installations : a planning perspective",,"Jay, Stephen A.",,"John Wiley & Sons",2006,14205.95
20953,"518 T17 ZEL",9781681171654,"Numerical methods with MATLAB",,"Zelenko, Dana (Ed.)",,Scitus,2017,12381.90
20954,"515.8 T24 GOL",9788120417571,"Methods of real analysis",,"Goldberg, Richard R.",,"CBS Pub.",2024,550.00
20955,"515.7 T24 PUN",9788123929767,"Functional analysis",,"Pundir, Sudhir K.",,"CBS Pub.",2024,450.00
20956,"515.353 T20 CAM",9780367137199,"Non-linear differential equations and dynamical systems",,"Campos, L.M.B.C",,"CRC Press",2020,11112.15
